0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5555555556,0,0,0,0,0,0,0,0,0,0,0,0,0.4444444444,0,0,0,0,0,0
0,0,0,0.6164488462,0.1768940167,0.0904124974,0.1162446396,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.4985525219,0,0.193555685,0.0940127613,0.1316178658,0,0,0,0,0,0,0.0822611661,0,0,0,0,0,0
0,0,0.2127753273,0.2878725017,0,0.1812530566,0.1223458132,0,0,0,0,0,0,0.1957533011,0,0,0,0,0,0
0,0,0.1213872832,0.1560693642,0.2023121387,0,0.2276011561,0.1365606936,0,0,0,0,0.1560693642,0,0,0,0,0,0,0
0,0,0.2112676056,0.2957746479,0.1848591549,0.3080985915,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.5294117647,0,0,0,0,0,0,0,0,0.4705882353,0
0,0,0,0,0,0,0,0,0.3939393939,0,0,0,0,0,0,0,0,0,0,0.6060606061
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4375,0,0,0.5625,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0.5333333333,0,0.4666666667,0,0,0,0,0,0,0,0,0,0,0,0
0,0.253164557,0,0.1898734177,0.3037974684,0,0,0,0,0,0,0,0,0,0.253164557,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.4,0,0,0.6,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0.406779661,0.593220339,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
